Title,Author,Pages
In the Skin of a Lion,Michael Ondaatje,244
The Zenith Angle,Bruce Sterling,306
Bad Pharma,Ben Goldacre,448
Coeur de Lion,Ariana Reines,128
Pattern Recognition,William Gibson,367
Dec 11 2017,The New Yorker,87
Mar 19 2018,The New Yorker,93
May 8 2017,The New Yorker,75
Mar 26 2018,The New Yorker,79
The World of the Castrati,Patrick Barbier,242
April 9 2018,The New Yorker,81
My Brilliant Friend,Elena Ferrante,331
The Story of a New Name,Elena Ferrante,470
Silent Spring,Rachel Carson,360
Starship Troopers,Robert Heinlein,263
Those Who Leave and Those Who Stay,Elena Ferrante,400
Spook Country,William Gibson,384
The Story of the Lost Child,Elena Ferrante,473
Women,Chloe Caldwell,131
Styles of Radical Will,Susan Sontag,225
Liveblog,Megan Boyle,712
The Story of O,Pauline Reage,240
